event_id,start_time,sport_name,category_name,competition_name,competition_id,season_name,season_id,round_number,home_team,home_team_id,away_team,away_team_id,venue_name,venue_city,venue_capacity,attendance,status,match_status,home_score,away_score
sr:sport_event:50852687,2025-04-12 14:15:00+00:00,Soccer,Spain,LaLiga,sr:competition:8,LaLiga 24/25,sr:season:118691,31,Getafe CF,sr:competitor:2859,UD Las Palmas,sr:competitor:6577,Coliseum Alfonso Pérez,Getafe,16500,8370.0,closed,ended,1.0,3.0
sr:sport_event:41893117,2023-10-29 20:00:00+00:00,Soccer,Spain,LaLiga,sr:competition:8,LaLiga 23/24,sr:season:106501,11,Atletico Madrid,sr:competitor:2836,Deportivo Alaves,sr:competitor:2885,Riyadh Air Metropolitano,Madrid,70460,50009.0,closed,ended,2.0,1.0
sr:sport_event:41892991,2023-09-18 19:00:00+00:00,Soccer,Spain,LaLiga,sr:competition:8,LaLiga 23/24,sr:season:106501,5,Granada CF,sr:competitor:33779,Girona FC,sr:competitor:24264,Estadio Nuevo Los Carmenes,Granada,19189,17323.0,closed,ended,2.0,4.0
sr:sport_event:61624396,2026-02-07 13:00:00+00:00,Soccer,Spain,LaLiga,sr:competition:8,LaLiga 25/26,sr:season:130805,23,Rayo Vallecano,sr:competitor:2818,Real Oviedo,sr:competitor:2851,Estadio de Vallecas,Madrid,14708,,not_started,not_started,,
sr:sport_event:50852605,2025-03-09 17:30:00+00:00,Soccer,Spain,LaLiga,sr:competition:8,LaLiga 24/25,sr:season:118691,27,Real Betis Seville,sr:competitor:2816,UD Las Palmas,sr:competitor:6577,Benito Villamarin,Seville,60721,49292.0,closed,ended,1.0,0.0
sr:sport_event:61624684,2026-05-24 19:00:00+00:00,Soccer,Spain,LaLiga,sr:competition:8,LaLiga 25/26,sr:season:130805,38,Espanyol Barcelona,sr:competitor:2814,Real Sociedad San Sebastian,sr:competitor:2824,RCDE Stadium,Cornella,40500,,not_started,not_started,,
sr:sport_event:61624522,2026-04-05 19:00:00+00:00,Soccer,Spain,LaLiga,sr:competition:8,LaLiga 25/26,sr:season:130805,30,Real Betis Seville,sr:competitor:2816,Espanyol Barcelona,sr:competitor:2814,Benito Villamarin,Seville,60721,,not_started,not_started,,
sr:sport_event:41893667,2024-05-26 14:15:00+00:00,Soccer,Spain,LaLiga,sr:competition:8,LaLiga 23/24,sr:season:106501,38,UD Las Palmas,sr:competitor:6577,Deportivo Alaves,sr:competitor:2885,Gran Canaria,Las Palmas de Gran Canaria,32400,23043.0,closed,ended,1.0,1.0
sr:sport_event:61624322,2026-01-19 20:00:00+00:00,Soccer,Spain,LaLiga,sr:competition:8,LaLiga 25/26,sr:season:130805,20,Elche CF,sr:competitor:2846,Sevilla FC,sr:competitor:2833,Estadio Martínez Valero,Elche,31388,22594.0,closed,ended,2.0,2.0
sr:sport_event:61624516,2026-03-22 19:00:00+00:00,Soccer,Spain,LaLiga,sr:competition:8,LaLiga 25/26,sr:season:130805,29,Villarreal CF,sr:competitor:2819,Real Sociedad San Sebastian,sr:competitor:2824,Estadio de la Ceramica,Villarreal,21332,,not_started,not_started,,
sr:sport_event:41893497,2024-03-31 16:30:00+00:00,Soccer,Spain,LaLiga,sr:competition:8,LaLiga 23/24,sr:season:106501,30,Deportivo Alaves,sr:competitor:2885,Real Sociedad San Sebastian,sr:competitor:2824,Estadio de Mendizorroza,Vitoria-Gasteiz,19840,18575.0,closed,ended,0.0,1.0
sr:sport_event:50852601,2025-03-09 17:30:00+00:00,Soccer,Spain,LaLiga,sr:competition:8,LaLiga 24/25,sr:season:118691,27,Athletic Bilbao,sr:competitor:2825,RCD Mallorca,sr:competitor:2826,San Mames Stadium,Bilbao,53331,48203.0,closed,ended,1.0,1.0
sr:sport_event:50852153,2024-08-31 17:15:00+00:00,Soccer,Spain,LaLiga,sr:competition:8,LaLiga 24/25,sr:season:118691,4,Espanyol Barcelona,sr:competitor:2814,Rayo Vallecano,sr:competitor:2818,RCDE Stadium,Cornella,40500,,closed,ended,2.0,1.0
sr:sport_event:61624086,2025-10-05 19:00:00+00:00,Soccer,Spain,LaLiga,sr:competition:8,LaLiga 25/26,sr:season:130805,8,RC Celta de Vigo,sr:competitor:2821,Atletico Madrid,sr:competitor:2836,Estadio Balaidos,Vigo,24870,20877.0,closed,ended,1.0,1.0
sr:sport_event:41893011,2023-09-22 19:00:00+00:00,Soccer,Spain,LaLiga,sr:competition:8,LaLiga 23/24,sr:season:106501,6,Deportivo Alaves,sr:competitor:2885,Athletic Bilbao,sr:competitor:2825,Estadio de Mendizorroza,Vitoria-Gasteiz,19840,19421.0,closed,ended,0.0,2.0
sr:sport_event:41893469,2024-03-17 15:15:00+00:00,Soccer,Spain,LaLiga,sr:competition:8,LaLiga 23/24,sr:season:106501,29,Villarreal CF,sr:competitor:2819,Valencia CF,sr:competitor:2828,Estadio de la Ceramica,Villarreal,21332,20647.0,closed,ended,1.0,0.0
sr:sport_event:50852587,2025-03-01 15:15:00+00:00,Soccer,Spain,LaLiga,sr:competition:8,LaLiga 24/25,sr:season:118691,26,Rayo Vallecano,sr:competitor:2818,Sevilla FC,sr:competitor:2833,Estadio de Vallecas,Madrid,14708,11947.0,closed,ended,1.0,1.0
sr:sport_event:50852495,2025-01-26 13:00:00+00:00,Soccer,Spain,LaLiga,sr:competition:8,LaLiga 24/25,sr:season:118691,21,Rayo Vallecano,sr:competitor:2818,Girona FC,sr:competitor:24264,Estadio de Vallecas,Madrid,14708,12405.0,closed,ended,2.0,1.0
sr:sport_event:61624122,2025-10-24 19:00:00+00:00,Soccer,Spain,LaLiga,sr:competition:8,LaLiga 25/26,sr:season:130805,10,Real Sociedad San Sebastian,sr:competitor:2824,Sevilla FC,sr:competitor:2833,Reale Arena,San Sebastian,32000,30965.0,closed,ended,2.0,1.0
