event_id,team_id,team_name,team_qualifier,ball_possession,cards_given,chances_created,clearances,corner_kicks,crosses_successful,crosses_total,crosses_unsuccessful,defensive_blocks,diving_saves,dribbles_completed,fouls,free_kicks,goal_kicks,injuries,interceptions,long_passes_successful,long_passes_total,long_passes_unsuccessful,loss_of_possession,offsides,passes_successful,passes_total,passes_unsuccessful,red_cards,shots_blocked,shots_off_target,shots_on_target,shots_saved,shots_total,substitutions,tackles_successful,tackles_total,tackles_unsuccessful,throw_ins,was_fouled,yellow_cards,yellow_red_cards,penalties_missed,goals_conceded,penalties_faced,penalties_saved
sr:sport_event:50852687,sr:competitor:2859,Getafe CF,home,45.0,1,7.0,28.0,3,1.0,12.0,11.0,3.0,0.0,2.0,10,18,10,0,0.0,6.0,31.0,25.0,19.0,1,176.0,201.0,25.0,1,2,4,3,1,9,4,5.0,5.0,0.0,25,15.0,0,0,,,,
sr:sport_event:50852687,sr:competitor:6577,UD Las Palmas,away,55.0,2,5.0,41.0,2,2.0,13.0,11.0,6.0,1.0,0.0,16,11,9,0,1.0,17.0,39.0,22.0,17.0,2,267.0,297.0,30.0,0,1,3,4,2,8,5,3.0,4.0,1.0,23,14.0,2,0,,,,
sr:sport_event:41893117,sr:competitor:2836,Atletico Madrid,home,56.0,3,,,4,,,,,,,8,10,6,0,,,,,,5,,,,0,1,3,5,0,9,5,,,,14,,3,0,,,,
sr:sport_event:41893117,sr:competitor:2885,Deportivo Alaves,away,44.0,2,,,4,,,,,,,9,13,9,0,,,,,,1,,,,0,1,3,1,3,5,5,,,,14,,2,0,,,,
sr:sport_event:41892991,sr:competitor:33779,Granada CF,home,41.0,3,,,4,,,,,,,12,23,2,0,,,,,,3,,,,0,0,5,7,3,12,5,,,,25,,3,0,,,,
sr:sport_event:41892991,sr:competitor:24264,Girona FC,away,59.0,3,,,5,,,,,,,19,15,7,0,,,,,,4,,,,0,5,2,7,5,14,5,,,,22,,3,0,,,,
sr:sport_event:50852605,sr:competitor:2816,Real Betis Seville,home,67.0,2,8.0,21.0,11,6.0,23.0,17.0,1.0,0.0,2.0,11,14,6,0,2.0,17.0,23.0,6.0,31.0,2,481.0,525.0,44.0,0,3,2,5,2,10,4,9.0,9.0,0.0,20,13.0,2,0,1.0,,,
sr:sport_event:50852605,sr:competitor:6577,UD Las Palmas,away,33.0,8,7.0,35.0,1,5.0,12.0,7.0,9.0,0.0,0.0,13,13,9,0,8.0,10.0,37.0,27.0,30.0,1,197.0,223.0,26.0,0,1,5,2,4,8,4,15.0,18.0,3.0,10,12.0,7,1,,,,
sr:sport_event:41893667,sr:competitor:6577,UD Las Palmas,home,65.0,2,,,2,,,,,,,14,12,12,2,,,,,,3,,,,0,0,4,4,2,8,5,,,,29,,2,0,,,,
sr:sport_event:41893667,sr:competitor:2885,Deportivo Alaves,away,35.0,1,,,6,,,,,,,11,17,6,0,,,,,,1,,,,0,2,5,3,3,10,5,,,,18,,1,0,1.0,,,
